Replicate,Days,Formulation,Temperature,Titer (PFU/mL),Log Fold Change
3,30,GJ,4,8.00E+07,-0.258278015
3,90,GJ,4,1.40E+08,-0.015239967
3,180,GJ,4,9.50E+07,-0.183644397
3,0,CMC,4,3.70E+07,0
3,1,CMC,4,2.65E+07,-0.14495585
3,2,CMC,4,1.80E+07,-0.312929219
3,4,CMC,4,1.30E+07,-0.454258372
3,7,CMC,4,1.20E+07,-0.489020478
3,14,CMC,4,1.90E+07,-0.289448123
3,30,CMC,4,9.60E+06,-0.585930491
3,90,CMC,4,2.65E+06,-1.14495585
3,180,CMC,4,2.70E+06,-1.13683796
