Replicate,Days,Formulation,Temperature,Titer (PFU/mL),Log Fold Change
1,0,GJ,40,1.35E+08,0
1,1,GJ,40,9.50E+07,-0.152610163
1,2,GJ,40,4.75E+07,-0.453640159
1,4,GJ,40,1.95E+07,-0.840299157
1,7,GJ,40,2.50E+06,-1.73239376
1,14,GJ,40,1.25E+04,-4.033423755
1,30,GJ,40,1,-8.130333768
1,0,CMC,40,8.00E+07,0
1,1,CMC,40,5.50E+07,-0.162727297
1,2,CMC,40,2.35E+07,-0.532022125
1,4,CMC,40,1.15E+06,-1.842392147
1,7,CMC,40,6.90E+05,-2.064240896
1,14,CMC,40,1,-7.903089987
1,30,CMC,40,,
1,0,GJ,23,1.35E+08,0
1,1,GJ,23,2.00E+08,0.170696227
1,2,GJ,23,2.25E+08,0.22184875
1,4,GJ,23,2.85E+08,0.324511092
1,7,GJ,23,1.90E+08,0.148419832
1,14,GJ,23,1.70E+08,0.100115153
1,30,GJ,23,9.00E+07,-0.176091259
1,90,GJ,23,1.30E+05,-3.016390416
1,180,GJ,23,1.00E+00,-8.13033
1,0,CMC,23,8.00E+07,0
1,1,CMC,23,5.35E+07,-0.174736205
1,2,CMC,23,6.00E+07,-0.124938737
1,4,CMC,23,4.60E+07,-0.240332155
1,7,CMC,23,7.50E+07,-0.028028724
1,14,CMC,23,1.95E+07,-0.613055376
1,30,CMC,23,1.40E+06,-1.756961951
1,90,CMC,23,1.70E+03,-4.672641066
1,180,CMC,23,1.00E+00,
1,0,GJ,4,1.35E+08,0
1,1,GJ,4,1.90E+08,0.148419832
1,2,GJ,4,1.25E+08,-0.033423755
1,4,GJ,4,2.95E+08,0.339488247
1,7,GJ,4,2.15E+08,0.202104691
1,14,GJ,4,1.80E+08,0.124938737
1,30,GJ,4,2.65E+08,0.292912105
1,90,GJ,4,2.50E+08,0.26760624
1,180,GJ,4,2.20E+08,0.212088912
1,0,CMC,4,8.00E+07,0
1,1,CMC,4,5.00E+07,-0.204119983
1,2,CMC,4,5.10E+07,-0.195519811
1,4,CMC,4,7.50E+07,-0.028028724
1,7,CMC,4,4.25E+07,-0.274701057
1,14,CMC,4,4.10E+07,-0.29030613
1,30,CMC,4,4.25E+07,-0.274701057
1,90,CMC,4,6.00E+07,-0.124938737
1,180,CMC,4,2.15E+07,-0.570651527
2,0,GJ,40,6.00E+07,0
2,1,GJ,40,8.50E+06,-0.848732325
2,2,GJ,40,6.45E+06,-0.968591536
2,4,GJ,40,1.25E+06,-1.681241237
2,7,GJ,40,1.20E+05,-2.698970004
2,14,GJ,40,2.45E+03,-4.388985166
2,30,GJ,40,1,-7.77815125
2,0,CMC,40,2.80E+07,0
2,1,CMC,40,6.95E+06,-0.605173227
2,2,CMC,40,3.00E+04,-2.970036777
2,4,CMC,40,5.50E+02,-4.706795342
2,7,CMC,40,1,-7.447158031
2,14,CMC,40,1,-7.447158031
2,30,CMC,40,,
2,0,GJ,23,6.00E+07,0
2,1,GJ,23,5.70E+07,-0.022276395
2,2,GJ,23,7.35E+07,0.088136089
2,4,GJ,23,3.40E+07,-0.246672333
2,7,GJ,23,1.40E+07,-0.632023215
2,14,GJ,23,1.65E+07,-0.560667306
2,30,GJ,23,4.30E+07,-0.144682795
2,90,GJ,23,6.50E+05,-1.965237894
2,180,GJ,23,7.90E+03,-3.880524159
2,0,CMC,23,2.80E+07,0
2,1,CMC,23,1.15E+07,-0.386460191
2,2,CMC,23,1.25E+07,-0.350248018
2,4,CMC,23,1.15E+07,-0.386460191
2,7,CMC,23,5.40E+06,-0.714764272
2,14,CMC,23,4.15E+06,-0.829109935
2,30,CMC,23,5.85E+03,-3.680002165
2,90,CMC,23,5.00E+01,-5.748188027
2,180,CMC,23,1.00E+00,
2,0,GJ,4,6.00E+07,0
2,1,GJ,4,1.10E+08,0.263241435
2,2,GJ,4,8.50E+07,0.151267675
2,4,GJ,4,1.05E+08,0.243038049
2,7,GJ,4,4.95E+07,-0.083546051
2,14,GJ,4,4.00E+07,-0.165367394
2,30,GJ,4,3.65E+07,-0.14976232
2,90,GJ,4,3.75E+07,-0.204119983
2,180,GJ,4,6.50E+07,0.034762106
2,0,CMC,4,2.80E+07,0
2,1,CMC,4,1.90E+07,-0.16840443
2,2,CMC,4,2.80E+07,0
2,4,CMC,4,2.55E+07,-0.040617851
2,7,CMC,4,1.30E+07,-0.333214679
2,14,CMC,4,2.35E+07,-0.076090169
2,30,CMC,4,1.80E+07,-0.191885526
2,90,CMC,4,6.50E+06,-0.634244675
2,180,CMC,4,1.30E+06,-1.333214679
3,0,GJ,40,1.45E+08,0
3,1,GJ,40,4.90E+06,-1.471171922
3,2,GJ,40,2.25E+06,-1.809185484
3,4,GJ,40,1.20E+06,-2.082186756
3,7,GJ,40,5.65E+05,-2.409319554
3,14,GJ,40,6.50E+04,-3.348454646
3,30,GJ,40,6.95E+03,-4.319383198
3,0,CMC,40,3.70E+07,0
3,1,CMC,40,5.20E+06,-0.85219838
3,2,CMC,40,2.95E+06,-1.098379708
3,4,CMC,40,1.60E+05,-2.364081741
3,7,CMC,40,4.50E+02,-4.91498921
3,14,CMC,40,1.50E+02,-5.392110465
3,30,CMC,40,1.00E+00,
3,0,GJ,23,1.45E+08,0
3,1,GJ,23,1.05E+08,-0.140178703
3,2,GJ,23,7.50E+07,-0.286306739
3,4,GJ,23,8.00E+07,-0.258278015
3,7,GJ,23,4.30E+07,-0.527899547
3,14,GJ,23,2.75E+07,-0.722035308
3,30,GJ,23,2.40E+07,-0.781156761
3,90,GJ,23,8.00E+06,-1.258278015
3,180,GJ,23,1.00E+06,-2.161368002
3,0,CMC,23,3.70E+07,0
3,1,CMC,23,1.40E+07,-0.422073688
3,2,CMC,23,1.40E+07,-0.422073688
3,4,CMC,23,7.00E+06,-0.723103684
3,7,CMC,23,8.50E+06,-0.638782798
3,14,CMC,23,2.35E+06,-1.197133862
3,30,CMC,23,1.90E+05,-2.289448123
3,90,CMC,23,1,-7.568201724
3,180,CMC,23,1.00E+00,
3,0,GJ,4,1.45E+08,0
3,1,GJ,4,1.30E+08,-0.04742465
3,2,GJ,4,7.60E+07,-0.28055441
3,4,GJ,4,1.20E+08,-0.082186756
3,7,GJ,4,1.15E+08,-0.100670162
3,14,GJ,4,1.35E+08,-0.031034234
